name,model,M,chi2,z,t0,amplitude,mwebv,mwr_v
SNAD101,nugent-sn2p,-19.709436542308325,1442.9801273221237,0.12970538763954595,58345.15481352492,1.4513315900186874e-08,0.04,3.1
SNAD101,nugent-sn2n,-21.739605332739927,1625.920091150193,0.2999999815838372,58342.75857362503,7.979899842694216e-09,0.04,3.1
SNAD101,nugent-sn1a,-21.73960548427263,1709.1518288819464,0.29999999976914227,58337.67440470079,1.0446070746083993e-08,0.04,3.1
SNAD101,nugent-sn91t,-21.739605484947113,1777.765790778465,0.29999999985008596,58333.898717881086,9.017847210794271e-09,0.04,3.1
SNAD101,nugent-sn2l,-19.739971662373208,2065.9810063964946,0.13140081296008174,58345.13496483506,1.7620932251712206e-08,0.04,3.1
SNAD101,nugent-hyper,-20.59521792062504,2146.4480244142715,0.18820203463409127,58345.77582516245,1.3311741635174986e-08,0.04,3.1
SNAD101,nugent-sn1bc,-20.895437307695744,2202.7709487966486,0.21303945058766108,58342.517715232134,1.2799998528676347e-08,0.04,3.1
SNAD101,nugent-sn91bg,-19.726583429455914,2228.8624754870884,0.13065490569369473,58346.70672039622,1.6220220766520553e-08,0.04,3.1
SNAD102,nugent-sn2n,-14.166878795177816,2162.6048110244,0.010000001013132186,58284.58580571315,1.4334531875608699e-08,0.06,3.1
SNAD102,nugent-sn1a,-19.910267869541443,2603.178942700882,0.1296231472978978,58280.090218524965,1.3281686168537124e-08,0.06,3.1
SNAD102,nugent-sn91t,-21.941927471257785,2639.6994859575843,0.29999999820724127,58275.85076276678,1.0438156827904874e-08,0.06,3.1
SNAD102,nugent-sn2l,-19.81353871926622,2668.5733614294036,0.12438997661245246,58285.19066928379,2.0437825559636446e-08,0.06,3.1
SNAD102,nugent-sn2p,-19.653392973704896,3115.89671107982,0.11615991454039262,58285.270441818466,1.396540051898326e-08,0.06,3.1
SNAD102,nugent-hyper,-20.13771120128169,3220.3101670718656,0.14275239438978865,58285.824681262035,1.5505809923847118e-08,0.06,3.1
SNAD102,nugent-sn91bg,-19.95681343674545,3253.2001546332003,0.13221427354124224,58287.50399125217,1.810968144330997e-08,0.06,3.1
SNAD102,nugent-sn1bc,-20.58394845142078,3282.817092470008,0.1721949788715115,58282.63755147171,1.473510809238156e-08,0.06,3.1
SNAD104,nugent-sn2p,-16.927423901916303,1203.2776805649933,0.03740961476960516,58254.454517940474,9.752628363823016e-09,0.01,3.1
SNAD104,nugent-sn2l,-19.751777614248557,1218.8475541626838,0.12906890658073314,58252.47052852329,1.4622576173257833e-08,0.01,3.1
SNAD104,nugent-sn2n,-14.16728929234868,1379.1137014356734,0.010703742108842859,58254.28969886073,9.546786522773292e-09,0.01,3.1
SNAD104,nugent-sn1a,-19.165517914024417,1524.684671145229,0.10038090052770396,58248.84224648056,8.837209264321064e-09,0.01,3.1
SNAD104,nugent-hyper,-16.484582726288206,1577.8452754232735,0.0306585703926288,58254.763737291694,1.1143341386151884e-08,0.01,3.1
SNAD104,nugent-sn91bg,-19.95681869087267,1588.0822141065523,0.14080470720173316,58253.05313261718,1.170971881911113e-08,0.01,3.1
SNAD104,nugent-sn1bc,-20.915438599185226,1704.0254611226303,0.21009042458965493,58251.109626964426,8.894506819140375e-09,0.01,3.1
SNAD104,nugent-sn91t,-14.614856368765526,4997.4972557423125,0.01312972398031935,58420.781997213024,1.9232515674173355e-10,0.01,3.1
SNAD106,nugent-sn1bc,-20.583280856555767,2024.7198323180403,0.20136475372007048,58224.438882974224,3.2142153035108683e-09,0.02,3.1
SNAD106,nugent-hyper,-13.789353069744287,2105.2004057545564,0.010000505052279953,58228.6623165317,3.4761632957250863e-09,0.02,3.1
SNAD106,nugent-sn91bg,-17.790056522386358,2659.3784935850267,0.06082780295198201,58361.154399541185,-2.897042058537927e-08,0.02,3.1
SNAD106,nugent-sn91t,-13.789242596704334,2727.3788039199653,0.010000000105979224,58478.16582002715,-5.440226074336251e-09,0.02,3.1
SNAD106,nugent-sn1a,-13.789242573964607,2735.439634011305,0.010000000002043907,58481.46269752538,-6.656590307844785e-09,0.02,3.1
SNAD106,nugent-sn2l,-13.789242593269044,2832.7325029871377,0.010000000090277737,58360.94140127602,-7.557737327914904e-08,0.02,3.1
SNAD106,nugent-sn2p,-19.440792079228082,2848.2740365490545,0.12464966567371247,58578.727779598696,-1.4211488998236849e-09,0.02,3.1
SNAD106,nugent-sn2n,-13.789263163868675,2962.187997452615,0.010000094111736212,58484.53151383396,-1.5427273390597647e-09,0.02,3.1
SNAD107,nugent-sn2n,-22.533540485523513,2134.2392391086496,0.2999999999192597,58378.79944698994,3.492863992646146e-08,0.01,3.1
SNAD107,nugent-sn2l,-20.180216506727593,2159.3387664616725,0.11297823491974951,58376.30091257731,2.688399503831564e-08,0.01,3.1
SNAD107,nugent-sn2p,-20.229650166419983,2363.4001585355736,0.11539827963244623,58375.45074099539,1.1013081074149504e-08,0.01,3.1
SNAD107,nugent-sn91t,-17.935534872849264,2364.111689120084,0.04217951338341188,58407.86488092039,-5.7964527739315815e-09,0.01,3.1
SNAD107,nugent-sn91bg,-19.737494955834425,2376.45459409824,0.09334127002694353,58385.26404189365,-2.5097905514293653e-08,0.01,3.1
SNAD107,nugent-sn1bc,-22.447777122165252,2405.0710586748824,0.28986850293024297,58387.12367303708,-6.526566403701287e-09,0.01,3.1
