name,model,M,chi2,z,t0,amplitude,mwebv,mwr_v,max_mag
SNAD101,nugent-sn2n,-21.70616405864662,7.994573154160547e-10,0.29601132947209574,58342.707112003765,8.011898616199328e-09,0.04,3.1,19.28441
SNAD101,nugent-sn1a,-21.719721902498527,8.178937332252207e-10,0.29762250064454976,58337.614488201856,1.0486011462255695e-08,0.04,3.1,19.28441
SNAD101,nugent-sn1bc,-20.862259834116564,8.367560209360378e-10,0.21015285860266072,58342.50977829485,1.277051327232557e-08,0.04,3.1,19.28441
SNAD101,nugent-sn2l,-19.74548548667409,9.06729155216387e-10,0.13170916721093742,58345.13391285825,1.7610890395010198e-08,0.04,3.1,19.28441
SNAD101,nugent-sn2p,-19.70489963347424,9.416530463582888e-10,0.12945523866382233,58345.13484184595,1.448357311210362e-08,0.04,3.1,19.28441
SNAD102,nugent-sn2n,-16.32174149745775,7.381371791718323e-10,0.026642849609532608,58284.490424269425,1.3853958898626506e-08,0.06,3.1,19.082088
SNAD102,nugent-sn1a,-21.668824210896503,7.662008848184298e-10,0.2688229641909665,58279.07511607858,1.2253285762894736e-08,0.06,3.1,19.082088
SNAD102,nugent-sn1bc,-20.583750221383355,7.887529768459163e-10,0.1721807285036212,58282.64230477563,1.4734833275711427e-08,0.06,3.1,19.082088
SNAD102,nugent-sn2p,-19.68121527916331,8.560488182541457e-10,0.117551947622727,58285.25340096544,1.394410019024847e-08,0.06,3.1,19.082088
SNAD102,nugent-sn2l,-19.798962682126742,8.884650162059473e-10,0.12361881050896868,58285.19342399697,2.0425077505338964e-08,0.06,3.1,19.082088
SNAD104,nugent-sn1bc,-20.667202157676382,5.497020268599897e-10,0.18961870051701213,58251.16632010562,8.832961891604353e-09,0.01,3.1,19.230509
SNAD104,nugent-sn1a,-21.05965623886078,6.003995557927965e-10,0.22290295311365727,58247.76559718676,7.873803512937965e-09,0.01,3.1,19.230509
SNAD104,nugent-sn2p,-18.613457515620862,6.416465503023824e-10,0.07897476121829117,58254.14401259564,9.740476196164391e-09,0.01,3.1,19.230509
SNAD104,nugent-sn2l,-19.774887052011284,6.512977848336916e-10,0.13034423371220671,58252.447848030206,1.461038378358815e-08,0.01,3.1,19.230509
SNAD104,nugent-sn2n,-21.65120792748446,6.696612863564471e-10,0.28336300819801635,58253.23245715604,5.884885364363059e-09,0.01,3.1,19.230509
SNAD106,nugent-sn2p,-19.392537095791543,1.4639838325493976e-10,0.14645013331148635,58225.02128865161,4.070749645645529e-09,0.02,3.1,19.887787
SNAD106,nugent-sn1a,-20.671955142751475,1.5617329039005703e-10,0.2488047103855654,58219.314851669886,3.663213700898281e-09,0.02,3.1,19.887787
SNAD106,nugent-sn2l,-17.04341521923705,1.6448092395510397e-10,0.05282463501723253,58225.00341924872,7.532874644722456e-09,0.02,3.1,19.887787
SNAD106,nugent-sn1bc,-19.52102873891005,1.6991323512804856e-10,0.1545986351831806,58223.987930039475,4.480244949935143e-09,0.02,3.1,19.887787
SNAD106,nugent-sn2n,-17.125330788166952,1.821899922748665e-10,0.05477955643970366,58236.697644281376,4.688753207496109e-09,0.02,3.1,19.887787
SNAD107,nugent-sn2l,-21.16468983238912,2.2604355402235147e-11,0.31749043454313053,58234.970160425684,6.987801829039193e-09,0.01,3.1,20.001299
SNAD107,nugent-sn1a,-21.893712808277503,2.298435695873395e-11,0.4230575239476622,58227.73367636974,4.090367890602822e-09,0.01,3.1,20.001299
SNAD107,nugent-sn2n,-16.150062537264507,2.4185097727262826e-11,0.03729955329403283,58234.40002031176,5.789937961858224e-09,0.01,3.1,20.001299
SNAD107,nugent-sn1bc,-22.022168715686067,3.294008779943546e-11,0.44472073766593884,58231.83950143235,5.719804774452674e-09,0.01,3.1,20.001299
SNAD107,nugent-sn2p,-22.016498947576725,3.30472401650249e-11,0.44374327037981687,58233.61560936956,4.448079297569498e-09,0.01,3.1,20.001299
SNAD108,nugent-sn1a,-21.922070727340543,1.0828475804412484e-10,0.2987337578994685,58271.78182943294,9.998116656448455e-09,0.01,3.1,19.091373
SNAD108,nugent-sn2n,-15.278775915628135,1.2908679687334743e-10,0.01667469896774514,58278.871369307206,1.3627562149153872e-08,0.01,3.1,19.091373
SNAD108,nugent-sn1bc,-21.414015144905466,1.502716417042638e-10,0.24336909433213938,58275.903850779796,1.1839331208692976e-08,0.01,3.1,19.091373
SNAD108,nugent-sn2l,-21.894165134434356,1.6014171796677226e-10,0.2954149229482593,58279.52573414786,1.4364970680921192e-08,0.01,3.1,19.091373
SNAD108,nugent-sn2p,-21.928229877459014,2.0549132716063556e-10,0.2994708765368989,58278.82317442548,9.393283319034436e-09,0.01,3.1,19.091373
SNAD109,nugent-sn2n,-21.216704632618725,2.2567727973219397e-10,0.28023293607811317,58224.979390944674,3.6829794852108046e-09,0.02,3.1,19.637384
SNAD109,nugent-sn1a,-21.337431964913858,2.26390688537163e-10,0.29414877317329424,58219.82458606063,4.687248384892343e-09,0.02,3.1,19.637384
SNAD109,nugent-sn1bc,-20.517928500956973,2.3358229142856403e-10,0.2109013098451916,58224.13772156043,5.797918762311275e-09,0.02,3.1,19.637384
SNAD109,nugent-sn2p,-19.74580014702202,2.535379677509508e-10,0.15294015462870555,58225.93556558135,6.340836860780819e-09,0.02,3.1,19.637384
SNAD109,nugent-sn2l,-20.499409660403668,2.6377531224543025e-10,0.20930059063356451,58228.06446694981,7.78044980763952e-09,0.02,3.1,19.637384
SNAD110,nugent-sn1a,-21.213680934512833,8.667916887767746e-11,0.2600437677432483,58340.991424760345,1.6072892794645658e-09,0.01,3.1,19.584816
SNAD110,nugent-sn2n,-19.767282367652403,8.997197417505901e-11,0.14290617697389987,58361.144328876995,6.985263002378092e-09,0.01,3.1,19.584816
SNAD110,nugent-sn1bc,-20.190129401154895,1.0205948459275429e-10,0.1707025250530835,58244.75004119968,3.287509525168264e-09,0.01,3.1,19.584816
SNAD110,nugent-sn2p,-17.149324859334246,1.0524910405667821e-10,0.045675830960712926,58248.98519923441,3.667182612988019e-09,0.01,3.1,19.584816
SNAD110,nugent-sn2l,-17.459221228303104,1.072758219669379e-10,0.05242937163522938,58249.287647712925,5.116708201784639e-09,0.01,3.1,19.584816
SNAD111,nugent-sn1a,-18.959686947831525,4.411970966259224e-10,0.1163329756638043,58280.96190844738,6.311973197994228e-09,0.03,3.1,19.77927
SNAD111,nugent-sn2n,-16.22608506220134,4.793984341784653e-10,0.03493403835943372,58285.53581184464,5.94379213922224e-09,0.03,3.1,19.77927
SNAD111,nugent-sn1bc,-14.65004423325895,4.806250723744443e-10,0.01712945047112746,58284.45970452993,8.027174526894875e-09,0.03,3.1,19.77927
SNAD111,nugent-sn2l,-17.375560430747267,5.9874347594306e-10,0.05832764307886241,58286.17053305036,9.548627354926997e-09,0.03,3.1,19.77927
SNAD111,nugent-sn2p,-18.969127674936548,6.026897934756329e-10,0.11680423457945419,58286.55633452137,6.986638335465373e-09,0.03,3.1,19.77927
SNAD112,nugent-sn2n,-15.012879010896196,1.0053964016716608e-09,0.015925122770429366,58247.84073465006,1.1763208871005956e-08,0.03,3.1,19.256176
SNAD112,nugent-sn1a,-19.56754398399671,1.102637363948725e-09,0.12062901648433676,58243.0323617399,1.295555873811117e-08,0.03,3.1,19.256176
