name,model,M,mse,z,t0,amplitude,mwebv,mwr_v,max_mag
SNAD101,nugent-sn2n,-21.70635767370669,7.98351943630085e-10,0.2960342814800027,58342.692197397315,7.998089558429068e-09,0.04,3.1,19.28441
SNAD101,nugent-sn1a,-21.732170417115185,8.148848946379879e-10,0.29910894378014413,58337.68307931355,1.0436783331272446e-08,0.04,3.1,19.28441
SNAD101,nugent-sn1bc,-20.883537857425296,8.376446213926561e-10,0.21199995840271632,58342.491908587304,1.2775556414247234e-08,0.04,3.1,19.28441
SNAD101,nugent-sn2l,-19.743533143022844,9.068087017826248e-10,0.1315999071702711,58345.129870257355,1.761367747858122e-08,0.04,3.1,19.28441
SNAD101,nugent-sn2p,-19.69589523246848,9.40031866972619e-10,0.12896010769705887,58345.139614465035,1.4464110362313602e-08,0.04,3.1,19.28441
SNAD102,nugent-sn2n,-16.180998983075554,7.394753127005956e-10,0.025001046209398064,58284.49571926552,1.3931097199698328e-08,0.06,3.1,19.082088
SNAD102,nugent-sn1a,-21.695980182311473,7.688030282976242e-10,0.2717838606673812,58279.07555189387,1.22566066288701e-08,0.06,3.1,19.082088
SNAD102,nugent-sn1bc,-20.585867660579623,7.885522108882954e-10,0.17233300370312932,58282.63721575893,1.4730207956602944e-08,0.06,3.1,19.082088
SNAD102,nugent-sn2p,-19.679016931487055,8.577139765196755e-10,0.11744138891765082,58285.26248700273,1.3972213809123737e-08,0.06,3.1,19.082088
SNAD102,nugent-sn2l,-19.806623404637364,8.89240370576533e-10,0.12402355033018994,58285.193017498146,2.0430340059080122e-08,0.06,3.1,19.082088
SNAD104,nugent-sn1bc,-20.72326292490286,5.485743703232798e-10,0.19407358961484922,58251.162232122086,8.833792059364216e-09,0.01,3.1,19.230509
SNAD104,nugent-sn1a,-20.87444498869397,6.061235890561265e-10,0.20657466959519702,58247.96085285922,8.00480386000329e-09,0.01,3.1,19.230509
SNAD104,nugent-sn2p,-18.08461802408795,6.333727317876138e-10,0.06260806818834322,58254.24478003049,9.68978015919657e-09,0.01,3.1,19.230509
SNAD104,nugent-sn2l,-19.757301829001133,6.496101140752751e-10,0.12937269940599766,58252.459938374785,1.4571521584179786e-08,0.01,3.1,19.230509
SNAD104,nugent-sn2n,-21.662833222647198,6.697920810687721e-10,0.28468965356574133,58253.2209353669,5.876401791683941e-09,0.01,3.1,19.230509
SNAD106,nugent-sn2p,-19.479420317290693,1.4620811968428515e-10,0.1519147894794967,58225.068176577435,4.049541816210046e-09,0.02,3.1,19.887787
SNAD106,nugent-sn2n,-15.337437653237888,1.496190018952149e-10,0.024576606151585797,58225.632111831226,3.778682836780858e-09,0.02,3.1,19.887787
SNAD106,nugent-sn1a,-20.659821887649176,1.5556230297343362e-10,0.24758173170739514,58219.33838758043,3.6478683542769254e-09,0.02,3.1,19.887787
SNAD106,nugent-sn2l,-16.593750679149625,1.627284478630603e-10,0.04323903655635621,58225.075445309034,7.542252024850516e-09,0.02,3.1,19.887787
SNAD106,nugent-sn1bc,-19.518422567128635,1.7007740693972454e-10,0.15442924154409016,58223.96294310028,4.487644269979438e-09,0.02,3.1,19.887787
SNAD107,nugent-sn2l,-21.209998391544556,2.2508130391345844e-11,0.3232667161194523,58234.87255866142,6.975148616270816e-09,0.01,3.1,20.001299
SNAD107,nugent-sn1a,-21.86305058883102,2.2957344998790923e-11,0.4180331949458082,58227.708694371046,4.129869016308199e-09,0.01,3.1,20.001299
SNAD107,nugent-sn2n,-16.270975979110435,2.424386793394795e-11,0.0393761428520752,58234.33737562599,5.750433023285903e-09,0.01,3.1,20.001299
SNAD107,nugent-sn1bc,-22.016166408234103,3.292971215780235e-11,0.4436860025793756,58231.89198063958,5.7091945374498636e-09,0.01,3.1,20.001299
SNAD107,nugent-sn2p,-22.021346161803447,3.305361753280689e-11,0.4445788056831247,58233.545078494535,4.454381785948137e-09,0.01,3.1,20.001299
SNAD108,nugent-sn1a,-21.92095273432952,1.0836106920406907e-10,0.2986001371694214,58271.75417389222,9.977841023061057e-09,0.01,3.1,19.091373
SNAD108,nugent-sn2n,-15.256225960612245,1.291265405534049e-10,0.016504534536197716,58278.90060169184,1.3628914825491867e-08,0.01,3.1,19.091373
