,Name,OID,ebv
0,SNAD101,633207400004730,0.04
1,SNAD102,633216300024691,0.06
3,SNAD104,758205400019523,0.01
5,SNAD106,758213400002862,0.02
6,SNAD107,762202300014913,0.01
7,SNAD108,762209400037712,0.01
8,SNAD109,790207100016149,0.02
9,SNAD110,790213400013270,0.01
10,SNAD111,796201100002136,0.03
11,SNAD112,796201400007564,0.03
12,SNAD113,796215200010831,0.02
13,SNAD114,796215400002705,0.02
14,SNAD115,824209400038197,0.03
15,SNAD116,824212400005043,0.02
17,SNAD118,824215300009825,0.02
18,SNAD119,847207200014161,0.04
19,SNAD120,847209200012956,0.05
20,SNAD121,847211100017171,0.03
21,SNAD122,676212400013135,0.01
22,SNAD123,720209400014960,0.03
23,SNAD124,792215100001492,0.03
24,SNAD125,793211300013937,0.01
26,SNAD127,793214300002434,0.01
27,SNAD128,793205400010761,0.01
28,SNAD129,721210100012349,0.02
29,SNAD130,794204400017737,0.01
30,SNAD131,794209200012381,0.01
31,SNAD132,794209300004376,0.01
32,SNAD133,795212100007964,0.03
33,SNAD134,795205100007271,0.02
34,SNAD135,795204100013041,0.02
35,SNAD136,825211200009477,0.03
36,SNAD137,825202200039582,0.03
37,SNAD138,825211300010764,0.02
38,SNAD139,763202300013915,0.03
39,SNAD140,763214100014089,0.04
41,SNAD142,826202200030732,0.04
42,SNAD143,682209200018910,0.03
43,SNAD144,764216400008221,0.05
44,SNAD145,764210400028832,0.04
45,SNAD146,756202100006670,0.03
46,SNAD147,756207300010654,0.01
48,SNAD149,849202200027457,0.04
49,SNAD150,679208100014706,0.03
50,SNAD151,790203100008547,0.01
51,SNAD152,792211100014627,0.01
55,SNAD156,755203100007964,0.01
56,SNAD157,684215200016923,0.08
58,SNAD159,792205300018453,0.01
59,SNAD160,821207100004043,0.02
60,SNAD161,791211100013499,0.01
61,SNAD162,825209400016106,0.03
62,SNAD163,825201300004134,0.04
63,SNAD164,826210300004963,0.04
64,SNAD165,763204300004087,0.03
65,SNAD166,763212400008960,0.02
66,SNAD167,848110200002560,0.03
67,SNAD168,680109100003419,0.02
68,SNAD169,793111200009141,0.03
69,SNAD170,843110200002130,0.03
70,SNAD171,723103100016148,0.02
71,SNAD172,723113400015131,0.03
72,SNAD173,845109400000132,0.02
73,SNAD174,692106300027877,0.03
74,SNAD175,759102100014462,0.02
77,SNAD178,797205100006765,0.03
78,SNAD179,723104100019341,0.01
79,SNAD180,825114400003486,0.03
80,SNAD181,798101400000531,0.05
81,SNAD182,676102400000856,0.03
82,SNAD183,783109400002438,0.05
83,SNAD184,676205100003608,0.02
84,SNAD185,716211100008498,0.02
85,SNAD186,718216200026001,0.03
86,SNAD187,718211400012193,0.01
87,SNAD188,718206100007526,0.01
88,SNAD189,720207300005154,0.01
89,SNAD190,682110300003264,0.04
90,SNAD191,718216400012148,0.01
91,SNAD192,762101300002304,0.03
92,SNAD193,718108100011977,0.01
93,SNAD194,764108100005289,0.03
94,SNAD195,754108100010282,0.02
95,SNAD196,794103300002167,0.01
96,SNAD197,846110200001652,0.02
97,SNAD198,760115300009766,0.02
98,SNAD199,631115200000919,0.03
99,SNAD200,635106400024713,0.08
100,SNAD201,724114400021697,0.02
101,SNAD202,634113400006044,0.04
102,SNAD203,682111400016634,0.03
103,SNAD204,681113300013243,0.04
104,SNAD205,795114200003028,0.03
105,SNAD206,635101200003331,0.1
106,SNAD207,821116400001335,0.03
107,SNAD208,763114400025654,0.03
108,SNAD209,725116400006211,0.04
109,SNAD210,847102200011518,0.03
110,SNAD211,797112400009341,0.05
111,SNAD212,722104400009937,0.01
112,SNAD213,764108400001920,0.04
113,SNAD214,795115200011106,0.02
114,SNAD215,762114300015272,0.02
115,SNAD216,723104400002577,0.01
116,SNAD217,633112100003788,0.05
117,SNAD218,683114100008066,0.04
118,SNAD219,846108100005307,0.03
119,SNAD220,672113100005681,0.03
120,SNAD221,648109400021834,0.05
121,SNAD222,719114300001744,0.01
122,SNAD223,713113200005451,0.02
123,SNAD224,799113200007657,0.07
124,SNAD225,677101400006297,0.03
125,SNAD226,681108100001679,0.02
126,SNAD227,719103300000699,0.01
127,SNAD228,636113200025515,0.1
128,SNAD229,718213400029848,0.01
129,SNAD230,721105400004560,0.01
130,SNAD231,679110200004000,0.01
131,SNAD232,680101400007204,0.03
132,SNAD233,683111200002754,0.05
133,SNAD234,680115300015300,0.02
134,SNAD235,762114100000051,0.03
135,SNAD236,678112400010966,0.03
136,SNAD237,865113200008733,0.07
137,SNAD238,723103400014019,0.02
138,SNAD239,677104100001511,0.02
139,SNAD240,847102300000383,0.03
140,SNAD241,761108100005391,0.03
141,SNAD242,753101100007466,0.02
142,SNAD243,662105400007673,0.03
143,SNAD244,633105300018089,0.05
