name,model,M,chi2
SNAD101,nugent-sn2p,-19.709436542308325,1442.9801273221235
SNAD102,nugent-sn2n,-14.166878795177816,2162.6048110244
SNAD104,nugent-sn2p,-16.927423901916303,1203.2776805649933
SNAD106,nugent-sn2l,-18.93800497886787,1241.2139501999272
SNAD107,nugent-sn2l,-20.99161160337569,401.4577959602957
SNAD108,nugent-sn91bg,-21.015843862493103,1141.6492859525852
SNAD109,nugent-sn2p,-20.15633216663188,992.1591411618808
SNAD110,nugent-sn2l,-15.92043244970912,2008.26831555314
SNAD111,nugent-sn1a,-18.907842941300174,660.6668004860719
SNAD112,nugent-sn1a,-19.573855665478188,945.2076401752151
SNAD113,nugent-sn1a,-20.30481995563511,484.8665752191709
SNAD114,nugent-sn2n,-14.110286494295792,733.2876146565268
SNAD115,nugent-sn2p,-19.66006592930272,1979.036130835489
SNAD116,nugent-sn2n,-13.43395812356269,1540.0529974440924
SNAD118,nugent-sn1a,-19.65711942623794,791.6374109150208
SNAD119,nugent-sn2n,-18.638153300176167,2417.20392571855
SNAD120,nugent-sn2p,-19.66708717362286,732.6015478001309
SNAD121,nugent-sn2n,-21.415931253911257,488.5721988874594
SNAD122,nugent-sn2n,-21.949869352702137,837.8280151698059
SNAD123,nugent-sn1a,-19.842284275247323,2801.539803397688
SNAD124,nugent-sn2l,-19.847827378867887,6307.312048249365
SNAD125,nugent-sn2n,-18.4635679946804,568.9339103788062
SNAD127,nugent-sn2p,-13.806556105812549,1459.495067667778
SNAD128,nugent-sn2n,-21.76609236580768,5086.415550475948
SNAD129,nugent-sn2l,-17.517284186064018,1258.5945636123583
SNAD130,nugent-sn2n,-13.883380785267525,796.1871943824763
SNAD131,nugent-sn2n,-13.690186762007272,373.5388877155359
SNAD132,nugent-sn91bg,-17.022144067529734,289.0026377078028
SNAD133,nugent-sn2l,-18.80121289699287,657.4530679529619
SNAD134,nugent-sn1a,-19.60510711251393,2909.781207937602
SNAD135,nugent-hyper,-13.234289868037052,947.615425117428
SNAD136,nugent-sn2n,-14.134979776392022,784.8923907894559
SNAD137,nugent-sn2n,-21.78568423335248,539.951867554978
SNAD138,nugent-sn2n,-13.330192588117171,446.9215637763749
