name,model,M,chi2,z,t0,amplitude,mwebv,mwr_v
SNAD101,nugent-sn2p,-19.709436542308325,1442.9801273221235,0.1297053876395459,58345.15481352492,1.4513315900186874e-08,0.04,3.1
SNAD102,nugent-sn2n,-14.166878795177816,2162.6048110244,0.0100000010131321,58284.58580571315,1.43345318756087e-08,0.06,3.1
SNAD104,nugent-sn2p,-16.927423901916303,1203.2776805649933,0.0374096147696051,58254.45451794048,9.752628363823016e-09,0.01,3.1
SNAD106,nugent-sn2l,-18.93800497886787,1241.2139501999272,0.1207358765031614,58224.400930034906,7.479390570276273e-09,0.02,3.1
SNAD107,nugent-sn2l,-20.99161160337569,401.4577959602957,0.2962884234601529,58235.10002674984,6.973606394790318e-09,0.01,3.1
SNAD108,nugent-sn91bg,-21.015843862493103,1141.6492859525852,0.2067673149012544,58279.67080068017,1.4417837885245649e-08,0.01,3.1
SNAD109,nugent-sn2p,-20.15633216663188,992.1591411618808,0.1816045796142058,58225.56631387314,6.335287511217976e-09,0.02,3.1
SNAD110,nugent-sn2l,-15.92043244970912,2008.26831555314,0.0263040312731567,58249.59370543262,5.001265439261768e-09,0.01,3.1
SNAD111,nugent-sn1a,-18.907842941300174,660.6668004860719,0.1137767980120284,58281.00539832559,6.326835466853516e-09,0.03,3.1
SNAD112,nugent-sn1a,-19.573855665478188,945.2076401752151,0.1209548094157436,58243.030858554994,1.295814130383482e-08,0.03,3.1
SNAD113,nugent-sn1a,-20.30481995563511,484.8665752191709,0.1887588103321834,58328.80872853665,9.070856161313756e-09,0.02,3.1
SNAD114,nugent-sn2n,-14.110286494295792,733.2876146565268,0.0100000133498655,58252.882413932624,1.835164853370754e-08,0.02,3.1
SNAD115,nugent-sn2p,-19.66006592930272,1979.036130835489,0.1349636408631768,58356.984167257935,8.156219340545024e-09,0.03,3.1
SNAD116,nugent-sn2n,-13.43395812356269,1540.0529974440924,0.0100000070847174,58330.00000000159,5.349385574320305e-09,0.02,3.1
SNAD118,nugent-sn1a,-19.65711942623794,791.6374109150208,0.1302605634259739,58253.64636025469,1.1816072691640464e-08,0.02,3.1
SNAD119,nugent-sn2n,-18.638153300176167,2417.20392571855,0.0627607624812318,58309.09420760606,2.2424658317099665e-08,0.04,3.1
SNAD120,nugent-sn2p,-19.66708717362286,732.6015478001309,0.1300364948199492,58288.94800213837,2.025649522771521e-08,0.05,3.1
SNAD121,nugent-sn2n,-21.415931253911257,488.5721988874594,0.2999999721236793,58341.96862715949,7.142956429839705e-09,0.03,3.1
SNAD122,nugent-sn2n,-21.949869352702137,837.8280151698059,0.2999999839794839,58255.864806261314,1.3636299600818752e-08,0.01,3.1
SNAD123,nugent-sn1a,-19.842284275247323,2801.539803397688,0.1021082392536692,58184.92143430414,2.9508239783520953e-08,0.03,3.1
SNAD124,nugent-sn2l,-19.847827378867887,6307.312048249365,0.09389829316777,58196.59942185219,4.6323860374888564e-08,0.03,3.1
SNAD125,nugent-sn2n,-18.4635679946804,568.9339103788062,0.0890531333034665,58265.5408422604,8.690638105563844e-09,0.01,3.1
SNAD127,nugent-sn2p,-13.806556105812549,1459.495067667778,0.0100000024329351,58161.25947454565,1.6319535502394922e-08,0.01,3.1
SNAD128,nugent-sn2n,-21.76609236580768,5086.415550475948,0.2999999855522682,58275.83577832995,4.3734704879185755e-09,0.01,3.1
SNAD129,nugent-sn2l,-17.517284186064018,1258.5945636123583,0.057645581712045,58190.06043592702,1.766846186390426e-08,0.02,3.1
