name,model,M,mse,z,t0,amplitude,mwebv,mwr_v,max_mag
SNAD101,nugent-sn1bc,-20.97355600524673,4.980547402801353e-10,0.2199813329626367,58342.50994742611,1.2954399745438556e-08,0.04,3.1,19.28441
SNAD102,nugent-sn1bc,-20.648146530307336,4.941784433651122e-10,0.1768681040830383,58282.68163580214,1.5091536066343993e-08,0.06,3.1,19.082088
SNAD104,nugent-sn1bc,-20.76577042034607,5.486759814131466e-10,0.1975158288846908,58251.13350974822,8.862290080819316e-09,0.01,3.1,19.230509
SNAD106,nugent-sn2p,-19.350649928596265,9.18247980080174e-11,0.1438816569216724,58225.0425942644,4.064018693752294e-09,0.02,3.1,19.887787
SNAD107,nugent-sn1a,-21.722273737698284,7.883652048251383e-12,0.3956661674803539,58227.703058623614,4.285786240798953e-09,0.01,3.1,20.001299
SNAD108,nugent-sn1a,-19.913875209139324,9.731812508251126e-11,0.1303360373663653,58273.5397061511,1.2018354194953594e-08,0.01,3.1,19.091373
SNAD109,nugent-sn1bc,-20.724559993493752,1.4596274253299944e-10,0.2295451541023053,58224.00672929255,5.981845858845041e-09,0.02,3.1,19.637384
SNAD110,nugent-sn1a,-21.150386357848078,5.6091363785254674e-11,0.2534619248571058,58342.8269282292,1.9382232690188453e-09,0.01,3.1,19.584816
SNAD111,nugent-sn1a,-19.38623327346124,2.54404939537956e-10,0.1395096405086115,58122.962783010174,2.2387404769062284e-08,0.03,3.1,19.77927
SNAD112,nugent-sn2p,-19.468857854534654,6.997481691294598e-10,0.1156412334788479,58248.56802417104,1.2960356506073752e-08,0.03,3.1,19.256176
SNAD113,nugent-sn2p,-19.175301368780936,5.128366007526219e-10,0.1172468188713734,58336.1752367152,1.0370178428944357e-08,0.02,3.1,19.58193
SNAD114,nugent-sn2p,-19.60332178927084,9.329341065511644e-10,0.1164849207251846,58254.21440683968,1.8571485803416733e-08,0.02,3.1,19.138683
SNAD115,nugent-sn1bc,-20.4307984379968,2.5252645533498145e-10,0.1865280183525111,58353.39274969902,7.674641169372884e-09,0.03,3.1,19.427298
SNAD116,nugent-sn1bc,-17.976546126081786,1.8223029483627526e-10,0.0771857775550837,58330.94107585188,5.045495303434563e-09,0.02,3.1,19.81501
SNAD118,nugent-sn2p,-19.424546179081027,8.249112032036971e-10,0.1179556085648067,58259.62057556012,1.2057767609566636e-08,0.02,3.1,19.346767
SNAD119,nugent-sn1bc,-21.237054895870788,1.7862260576208544e-09,0.1913427425864384,58307.05419746439,2.7444683154690322e-08,0.04,3.1,18.682495
SNAD120,nugent-sn2p,-19.675258977458142,8.01309356435418e-11,0.1304892839593713,58288.93008101069,2.0244653923898807e-08,0.05,3.1,19.332752
SNAD121,nugent-sn2n,-21.355988970098142,5.038086087677517e-10,0.2928851732376371,58342.04520608948,7.231940760036914e-09,0.03,3.1,19.608084
SNAD122,nugent-sn2p,-19.201953150061343,1.560296961748967e-11,0.0953079717578978,58254.97832224184,2.1674467520316172e-08,0.01,3.1,19.074146
SNAD123,nugent-sn2p,-20.22824289700745,3.381276222323057e-09,0.1205153386208633,58192.17082012787,2.4818238332072442e-08,0.03,3.1,18.593271
SNAD124,nugent-sn1bc,-21.67722219114643,1.8202886541027111e-09,0.2037117399529534,58191.407671318135,3.150376678945992e-08,0.03,3.1,18.393871
SNAD125,nugent-sn1a,-21.33085568162835,1.3346719692995276e-11,0.2955748785892445,58259.11623762216,7.2008569791765645e-09,0.01,3.1,19.656034
SNAD127,nugent-sn1bc,-21.49539661606915,2.392983478327839e-10,0.2898168221434203,58184.85170434675,1.1787707039374104e-08,0.01,3.1,19.442411
SNAD128,nugent-sn2p,-19.546637155644984,2.0621075839914198e-10,0.1196450820952244,58277.709376981285,7.416471572609237e-09,0.01,3.1,19.257923
SNAD129,nugent-sn2p,-19.205228972890524,2.1169814191833122e-10,0.1202414673041704,58191.13014079774,8.696295174946083e-09,0.02,3.1,19.610962
SNAD130,nugent-sn2p,-19.387213067485465,7.140394036670285e-10,0.1170291148012858,58296.28011973165,1.0110763820659644e-08,0.01,3.1,19.365677
SNAD131,nugent-sn1bc,-21.38415346139015,2.109925647803649e-11,0.2904132969410375,58232.46929870821,9.203496808264073e-09,0.01,3.1,19.55878
SNAD132,nugent-sn1bc,-18.63672202823143,2.0300826002002923e-11,0.1039522766957636,58239.634067225896,5.392036935820296e-09,0.01,3.1,19.84034
SNAD133,nugent-sn2p,-19.5323748326216,6.66120350863911e-10,0.1198375081912072,58194.664991460406,1.3142457459684428e-08,0.03,3.1,19.275944
SNAD134,nugent-sn1bc,-20.145352571723517,4.748986314760197e-10,0.1714161100770374,58265.27433106606,1.0910990674542193e-08,0.02,3.1,19.509827
SNAD135,nugent-sn2p,-18.72607305231697,1.7858859495940363e-10,0.1164229934546434,58301.24923498304,5.337554259016993e-09,0.02,3.1,20.01469
SNAD136,nugent-sn1a,-21.893057296908367,2.1848840610101937e-11,0.2979696513912022,58343.412657092165,1.3425301456044236e-08,0.03,3.1,19.113987
SNAD137,nugent-sn2p,-19.54252312382668,6.796937364065042e-10,0.1162627045826067,58238.82951695834,1.7688625466630497e-08,0.03,3.1,19.195023
SNAD138,nugent-sn2p,-18.822033225238734,2.0309369606653175e-10,0.1164251958921914,58294.12322696616,5.701775285394351e-09,0.02,3.1,19.918774
SNAD139,nugent-sn2p,-19.76095376035721,1.3118797418630662e-09,0.1170001430595156,58199.61162751245,2.2761114876200776e-08,0.03,3.1,18.991358
SNAD140,nugent-sn2p,-19.587121727897543,8.041288667214608e-10,0.1173846876174413,58190.22920796062,2.1063130358089677e-08,0.04,3.1,19.172855
SNAD142,nugent-sn2l,-19.367746072275583,2.846844815739116e-10,0.1277815024234263,58330.65743744801,1.8264950960981933e-08,0.04,3.1,19.590994
SNAD143,nugent-sn1bc,-15.07817609073929,8.1977869517522e-10,0.0152011938284638,58190.9956563126,2.7841882758998392e-08,0.03,3.1,19.088676
SNAD144,nugent-sn2n,-19.70974751070675,1.8741937939689172e-10,0.1461003620569611,58739.55571069012,4.848126692325993e-07,0.05,3.1,19.564913
SNAD145,nugent-sn2p,-18.69707290950704,8.044605817817829e-11,0.1107142169928434,58336.4146637429,3.4098740947606082e-09,0.04,3.1,19.92646
SNAD146,nugent-sn1bc,-20.728941881193453,2.309491865555244e-10,0.2173604752949292,58185.647202797736,1.2465890871086987e-08,0.03,3.1,19.499802
SNAD147,nugent-sn1bc,-21.505164220862287,2.1831972656971404e-10,0.2898439812977608,58202.65012431998,6.94849303315842e-09,0.01,3.1,19.432877
SNAD149,nugent-sn1bc,-20.423986712388505,4.1664421932752476e-10,0.1693422023664628,58344.01068453857,1.0592233916359263e-08,0.04,3.1,19.202059
SNAD150,nugent-sn2p,-21.880265138683686,1.1585728822022754e-09,0.2997518739053993,58196.06183691857,1.4798843586655858e-08,0.03,3.1,19.141682
SNAD151,nugent-sn1bc,-20.46637153814309,1.0898064408497646e-09,0.1705782803860484,58572.86050297979,1.394998363592211e-08,0.01,3.1,19.177078
SNAD152,nugent-sn1bc,-21.386891705008704,1.0478942768798026e-09,0.1780315509206326,58209.80940134726,1.3475396165348993e-08,0.01,3.1,18.378218
SNAD156,nugent-sn1bc,-21.109200625912177,5.001825279614963e-10,0.1958739648511484,58220.02783447245,1.6278572537780923e-08,0.01,3.1,18.86689
SNAD157,nugent-sn2p,-19.15097116148899,2.1801877999704077e-10,0.1179785261414469,58292.15521240012,7.579127762772254e-09,0.08,3.1,19.620796
SNAD159,nugent-sn1bc,-20.63472529291537,2.0945627755885114e-10,0.1787277161393311,58553.165210143445,8.500307940437031e-09,0.01,3.1,19.120619
